"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"11510","AC-直播学生端(#10)","通用(#16)","AC_Android_2.12.0(#387)","","","课程详情页面，文案修改，已和产品确认","","3","3","代码错误","","","1.“预习视频”改为“预习”  ：预习视频未观看的时候，下方显示“未完成”
    “看绘本”改为“绘本” ：绘本未观看的时候，下方显示“未完成”
ps：注意NGK的l0/l1/l2","激活","0000-00-00","0","未确认",",","鲍杰","2019-11-01","主干(#trunk)","王和鑫","2019-11-01","","","","0000-00-00","","0000-00-00","0","","","盛锋","2019-11-01","",""
"11511","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.12.0(#386)","","","NGK和小课包的课程详情页面。文案修改如下，已和产品确认","","3","3","代码错误","","","1.预习视频未观看的时候，下方显示“未完成”
   绘本未观看的时候，下方显示“未完成”
ps：注意NGK的l0/l1/l2

","激活","0000-00-00","0","未确认",",","鲍杰","2019-11-01","主干(#trunk)","王和鑫","2019-11-01","","","","0000-00-00","","0000-00-00","0","","","俞立荣","2019-11-01","",""
"11561","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.12.0(#384)","","","NGK用户自动调结束接口/自动下课调结束接口未结算钻石问题","","2","2","代码错误","","","[步骤]ID：283483，课次：1236728
[结果]
[期望]","激活","0000-00-00","0","未确认",",","胡春霞","2019-11-04","主干(#trunk)","厉国甜","2019-11-04","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"11692","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.13.0(#398)","","","确认一下，新用户注册的时候，选择出生日期时是否需要确定按钮","","3","","代码错误","","","[步骤]

[结果]
[期望]","激活","0000-00-00","0","未确认",",","鲍杰","2019-11-14","主干(#trunk)","晏之遥","2019-11-14","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"11693","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.13.0(#398)","","","客户端收到多个弹窗时，北京的蒙层透明底降低，体验效果很差","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","鲍杰","2019-11-14","主干(#trunk)","晏之遥","2019-11-14","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"11850","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.12.0(#386)","","","客户端在直播间进行上课时，弱网情况下，点击刷新，app卡死（目前在开启代理的时候能够复现这个问题）","","3","3","代码错误","","","[步骤]
具体复现情况已经和开发说明
[结果]
[期望]","激活","0000-00-00","0","未确认",",","鲍杰","2019-11-19","主干(#trunk)","俞立荣","2019-11-19","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"11869","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.13.0(#398)","","","预习视频的时候，收到上课提醒通知，提醒的弹窗的button应该是“我知道了”","","3","3","代码错误","","","[步骤]

[结果]
[期望]","激活","0000-00-00","0","未确认",",","鲍杰","2019-11-20","主干(#trunk)","晏之遥","2019-12-18","","","","0000-00-00","","0000-00-00","0","","","鲍杰","2019-12-18","",""
"12379","AC-直播学生端(#10)","通用(#16)","AC_AndroidPad_3.0.0(#407)","","","注册填写个人信息栏-英文名录入未作限制","","3","3","代码错误","","","[步骤]期望对非英文字符做限制
[结果]
[期望]","激活","0000-00-00","0","未确认",",","胡春霞","2019-12-18","主干(#trunk)","王和鑫","2019-12-18","","","","0000-00-00","","0000-00-00","0","","","盛锋","2019-12-18","",""
"12443","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.0.0(#408)","","","课节未配置作业，改课节已结束后，显示的“课程详情”而不是做作业（00109876544：海龟的一生）","","3","3","代码错误","","","[步骤]

[结果]
[期望]","激活","0000-00-00","1","已确认",",","鲍杰","2019-12-19","主干(#trunk)","郭栋梁","2019-12-27","","","","0000-00-00","","0000-00-00","0","","","鲍杰","2019-12-27","",""
"12589","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.0.0(#406)","","","通过CRM加课后，撤销订单，课表页面还是显示退款当天的课程","","3","3","其他","","","[步骤]
1.CRM加课
2.CRM撤销订单
[结果]
客户端课表也显示撤销订单的课程的当天课节信息，并且能够进入直播间
[期望]
课表也不展示","激活","0000-00-00","0","未确认",",","鲍杰","2019-12-27","主干(#trunk)","赵天逸","2019-12-27","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"12600","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.0.0(#406)","","","Sph没有购买完成课程是，课程列表缺少以下标志，具体见下图（测试服 00118000100）","","3","3","代码错误","","","[步骤]

[结果]
[期望]","激活","0000-00-00","0","未确认",",","鲍杰","2019-12-27","主干(#trunk)","王和鑫","2020-01-01","","","","0000-00-00","","0000-00-00","0","","","周松","2020-01-01","",""
"13321","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.0.0_ACC(#417)","","","【iPhone3.0.0】-->课程列表：网络不是很好的情况下课程列表加载超时内容没有显示，这里可以考虑优化下。","","3","","代码错误","全部","","[","激活","0000-00-00","0","未确认",",","倪明敏","2020-01-06","主干(#trunk)","赵天逸","2020-01-06","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"13732","AC-直播学生端(#10)","通用(#16)","AC_Background_3.0.0_ACC(#440)","","","【安卓3.0.0_ACC】-->选择等级加课：用户课程过期后重新购买课程选择等级时报学生存在已加课记录","","2","2","代码错误","","","

","激活","0000-00-00","0","未确认",",","倪明敏","2020-01-10","主干(#trunk)","厉国甜","2020-01-10","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"13756","AC-直播学生端(#10)","通用(#16)","ACC_作业模板v1.0(#431)","","","语音评测模板中，播放自己录音的过程中，物理切到后台，录音会继续播放","","4","4","设计缺陷","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","徐漫漫","2020-01-10","主干(#trunk)","程晨","2020-01-10","","","","0000-00-00","","0000-00-00","0","","","徐漫漫","2020-01-11","",""
"14055","AC-直播学生端(#10)","通用(#16)","AC_AndroidPad_3.0.0(#407)","","","结束页分享及前往作业未作连点保护处理（手机/pad)","","3","3","代码错误","","","[步骤][结果][期望]","激活","0000-00-00","0","未确认",",","胡春霞","2020-01-17","主干(#trunk)","盛锋","2020-01-17","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"14255","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.1.0(#450)","","","debug模式下重复测试入口进去做完测试后按钮文案未该，无法提交。需求如下","","3","3","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","胡春霞","2020-02-12","主干(#trunk)","程晨","2020-02-12","","","","0000-00-00","","0000-00-00","0","","","曾扬平","2020-02-12","",""
"14302","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.1.0(#452)","","","首次下载首次进入教室获取相机权限的时候弹窗无法关闭，目前为偶现，先记录一下，暂时先不处理","","3","3","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","胡春霞","2020-02-14","主干(#trunk)","盛锋","2020-02-14","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"14384","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.2.0(#462)","","","app关注公众号，服务通知消息已经发送一次，微信开启状态下再次点击关注公众号，调起微信后不会提示发送服务通知","","3","3","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","鲍杰","2020-02-21","主干(#trunk)","马李鑫","2020-02-21","","","","0000-00-00","","0000-00-00","0","","","鲍杰","2020-03-11","",""
"15473","AC-直播学生端(#10)","通用(#16)","官方转化1.0(#507)","","","购课H5微信环境练不显示 支付宝支付  只有微信支付","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","1","已确认",",","李宏斌","2020-04-01","主干(#trunk)","晏之遥","2020-04-01","","","","0000-00-00","","0000-00-00","0","","","李宏斌","2020-04-01","",""
"15499","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.4.1(#520)","","","NGK课程L0课程，课程结束后，点击课程结束页面的“前往作业”按钮，提示“语音评测获取xx失败”然后页面崩溃至课表页面","","2","2","代码错误","","","[步骤]
IPhoneX  (ios13.3)
概率：出现一次
[结果]
[期望]","激活","0000-00-00","0","未确认",",","鲍杰","2020-04-02","主干(#trunk)","周松","2020-04-02","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15533","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.4.1(#523)","","","直播间内屏蔽用户会有时候会展示用户的最后一帧画面","","3","2","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","娄基深","2020-04-06","主干(#trunk)","陈明泉","2020-04-06","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15562","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.4.1(#520)","","","SDK替换，公司内部测试问题手机归纳记录","","3","2","代码错误","","","1.iphonex/Iphone11  锁屏之后   音画不同步   ---直播间（可能和设备型号无关，请排查一下）
2.iphone11，版本：13.3.1  bobbysay环节有回音
3.iphone  11promax    将app切到后台 再切回来可以上课但声音画面不同步，点击 刷新还是不同步，除非退出重进
4.iphone  7 plus     1）切到后台  再打开 选择题的时候 课件会卡主        2）退出教室再进来 课件进度和别的端上课进度不一致问题
5.iphone跨教室PK第二环节语音评测分数都很低打分过低（13-15分）----晏之遥
6.苹果8P .13.3.1,直播间只有一人音量偏小，多人同在直播间声音变大--马梦妮
7.Bobby最后关窗时还是没有说goodbye的声音","激活","0000-00-00","0","未确认",",","鲍杰","2020-04-08","主干(#trunk)","周松","2020-04-08","","","","0000-00-00","","0000-00-00","0","","","胡春霞","2020-04-15","",""
"15564","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.4.1(#523)","","","个别设备没有钻石声音，波比说话没有声音，卸载重装还是不行","","3","2","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","娄基深","2020-04-08","主干(#trunk)","王财坡","2020-04-08","","","","0000-00-00","","0000-00-00","0","","","娄基深","2020-04-13","",""
"15565","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.4.1(#523)","","","获得钻石动画延迟比手机端慢","","3","3","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","娄基深","2020-04-08","主干(#trunk)","王财坡","2020-04-08","","","","0000-00-00","","0000-00-00","0","","","娄基深","2020-04-08","",""
"15566","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.4.1(#523)","","","win10, 设备检测，外接摄像头无法识别","","3","3","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","娄基深","2020-04-08","主干(#trunk)","王财坡","2020-04-08","","","","0000-00-00","","0000-00-00","0","","","娄基深","2020-04-08","",""
"15569","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.4.1(#521)","","","SDK -Alpha测试问题汇总","","2","3","代码错误","","","[步骤]1.手机型号：小米8    操作步骤：上课结束后，按下电源键，在开启电源键并回到App，出现该现象
2.红米note8pro
上课过程中老师突然不见了，但是还有声音，当前展示的课件页数错误，刷新后正常
3.华为nova5pro  app切换到后台过一段时间再回来自己的摄像头会冻住，刷新之后流程就正常了
4.小米九  系统MIUI11，关闭进程重新打开显示网络问题 然后显示了课程列表空白
5.1.两台设备同时播放（ios和android），android客户端在互动环节会播放较慢，出现音画不同步，具体见附件视频  ---18557530949/小米4c/安卓7.0，可能和设备有关系，请排查一下（设备在王和鑫那里）
6.  oppo r11还是good job和nice try的时候没有声音，选择答案也没有声音，跟读录不了声音，音量条没有浮动
7.安卓10  华为荣耀X9 ,在对战游戏前baby对话中，baby没声音---黄振横
8.上课耗电问题，看下能不能优化

[结果]
[期望]","激活","0000-00-00","0","未确认",",","胡春霞","2020-04-08","主干(#trunk)","徐铁鹏","2020-04-08","","","","0000-00-00","","0000-00-00","0","","","胡春霞","2020-04-13","",""
"15698","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.4.1(#523)","","","进入教室，老师一直在连接中","","3","3","代码错误","","","[步骤][结果][期望]","激活","0000-00-00","0","未确认",",","娄基深","2020-04-13","主干(#trunk)","陈明泉","2020-04-13","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15723","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.5.0(#530)","","","幕布拉开一半后，会黑屏或者自动进入加载页，有概率出现重新进入此环节","","3","3","代码错误","","","[步骤]
[结果]


[期望]



","激活","0000-00-00","2","已确认",",","徐漫漫","2020-04-14","AC3.5.0 200413(#1240)","马李鑫","2020-04-22","","","","0000-00-00","","0000-00-00","0","","","鲍杰","2020-04-22","",""
"15746","AC-直播学生端(#10)","通用(#16)","OEM-v2.0-杜丫丫适配(#517)","","","偶现一次课后练习点击跟读后无法再次点击完成跟读且无法退出作业页面，已和开发沟通","","3","3","代码错误","","","[步骤]
l0 课后练习
[结果]
[期望]","激活","0000-00-00","0","未确认",",","鲍杰","2020-04-14","DYY2.0 200413(#1241)","徐铁鹏","2020-04-14","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15853","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.5.0(#533)","","","从singing退出或者跳转到其他模块时出现黑/白一下屏的现象","","3","3","代码错误","","","[步骤]
[结果]
从singing退出或者跳转到其他模块时出现黑/白一下屏的现象
[期望]","激活","0000-00-00","0","未确认",",","徐漫漫","2020-04-15","PC_3.5.0_singing(#1254)","王财坡","2020-04-15","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15858","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.5.0(#533)","","","加载页点击返回按钮，会出现白屏","","3","3","代码错误","","","[步骤]
[结果]
加载页点击返回按钮，会出现白屏
[期望]

","激活","0000-00-00","0","未确认",",","徐漫漫","2020-04-15","PC_3.5.0_singing(#1254)","王财坡","2020-04-15","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15894","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.5.0(#530)","","","【偶现】ACC课节  --  课节列表和开课时间表出现只显示半截内容的情况","","3","3","代码错误","","","[步骤]
[结果]


[期望]","激活","0000-00-00","0","未确认",",","涂林立","2020-04-17","主干(#trunk)","尤灵刚","2020-04-17","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15908","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.5.0(#530)","","","【偶现】部分机型录音评分为0分","","3","3","代码错误","","","[步骤]
[结果]
【偶现】部分机型录音评分为0分

[期望]","激活","0000-00-00","1","已确认",",","徐漫漫","2020-04-17","AC_3.5.0_200416(#1255)","马李鑫","2020-04-20","","","","0000-00-00","","0000-00-00","0","","","马李鑫","2020-04-21","",""
"15941","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.5.0(#530)","","","ACC课程列表页连线错乱问题","","3","3","代码错误","","","[步骤]

[结果]
[期望]","激活","0000-00-00","0","未确认",",","胡春霞","2020-04-20","主干(#trunk)","马李鑫","2020-04-20","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15965","AC-直播学生端(#10)","服务端(#145)","AC_AndroidPhone_3.5.0(#530)","","","课程明细  --  购买永久有效的ACC课程会在课程明细显示为过期","","3","3","代码错误","","","[步骤] 预发服  --  00110011001
[结果]
[期望]","激活","0000-00-00","0","未确认",",","涂林立","2020-04-21","AC_Android_0421(#1260)","黄章明","2020-04-21","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15969","AC-直播学生端(#10)","通用(#16)","OEM-v2.0-杜丫丫适配(#517)","","","杜YY课后环节有Crash的风险(非必现）","","2","2","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","胡春霞","2020-04-21","主干(#trunk)","徐铁鹏","2020-04-21","","","","0000-00-00","","0000-00-00","0","","","徐铁鹏","2020-04-21","DYY_ST
",""
"15970","AC-直播学生端(#10)","通用(#16)","OEM-v2.0-杜丫丫适配(#517)","","","课程详情页入口（点击进入教室，课后作业，预习等入口）未作连点保护","","3","3","代码错误","","","[步骤][结果][期望]","激活","0000-00-00","0","未确认",",","胡春霞","2020-04-21","主干(#trunk)","徐铁鹏","2020-04-21","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15979","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.5.0(#528)","","","广告位未作连点保护，期望做连点保护","","4","3","代码错误","","","[步骤][结果][期望]","激活","0000-00-00","0","未确认",",","胡春霞","2020-04-21","主干(#trunk)","龚慧超","2020-04-21","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15986","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.5.0(#533)","","","【优化】singsing环节，在合成页拔掉网线后，跳出作品合成失败弹框，不插入网线点击“确定”按钮，页面会卡死。","","3","3","代码错误","","","","激活","0000-00-00","0","未确认",",","褚涛涛","2020-04-21","PC_3.5.0_singing(#1254)","王财坡","2020-04-21","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"15996","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.5.0(#533)","","","ngk回放拖动几次就结束了课程","","3","2","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","娄基深","2020-04-22","主干(#trunk)","王财坡","2020-04-22","","","","0000-00-00","","0000-00-00","0","","","娄基深","2020-04-22","",""
"16072","AC-直播学生端(#10)","通用(#16)","AC_AndroidPhone_3.5.0(#530)","","","上课记录为缺课记录的课程，课程详情页面的分享逻辑不正确，按钮置灰，点击后toast提示信息","","3","3","代码错误","","","[步骤]

[结果]
[期望]","激活","0000-00-00","0","未确认",",","鲍杰","2020-04-26","主干(#trunk)","郭栋梁","2020-04-26","","","","0000-00-00","","0000-00-00","0","","","尤灵刚","2020-04-26","",""
"16073","AC-直播学生端(#10)","通用(#16)","AC_AndroidPad_3.6.0(#544)","","","ACC课程列表页无法解锁正课","","2","2","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","胡春霞","2020-04-26","主干(#trunk)","","0000-00-00","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"16099","AC-直播学生端(#10)","通用(#16)","AC_Windows_3.5.0(#533)","","","【PC端】singsing环节，当字母在三线格中占下面两个格式，会截掉底部一点点，需优化","","3","3","代码错误","","","","激活","0000-00-00","0","未确认",",","褚涛涛","2020-04-26","PC_3.5.0_singing(#1254)","王财坡","2020-04-26","","","","0000-00-00","","0000-00-00","0","","","陈明泉","2020-04-26","",""
"16108","AC-直播学生端(#10)","通用(#16)","小课包课程大纲(#550)","","","课程id为222的“哈佛进阶课P1”的Q1目前是打开状态","","3","","代码错误","","","[步骤]
[结果]
[期望]课程id为222的“哈佛进阶课P1”的Q2、Q3、Q4需要支持展示课程大纲长图，Q1是锁住状态","激活","0000-00-00","0","未确认",",","黄冬琴","2020-04-27","主干(#trunk)","曾扬平","2020-04-27","","","","0000-00-00","","0000-00-00","0","","","晏之遥","2020-04-27","",""
"16113","AC-直播学生端(#10)","通用(#16)","小课包课程大纲(#550)","","","展开Q3，再展开Q4，直接跳转Q4的结尾位置","","3","","代码错误","","","[步骤]
[结果]
[期望]展开之后从首条信息开始显示","激活","0000-00-00","0","未确认",",","黄冬琴","2020-04-27","主干(#trunk)","曾扬平","2020-04-27","","","","0000-00-00","","0000-00-00","0","","","晏之遥","2020-04-27","",""
"16116","AC-直播学生端(#10)","通用(#16)","小课包课程大纲(#550)","","","P1+P2的h5页面没有分开展示P1和P2的课表","","3","","代码错误","","","[步骤]
[结果]
[期望]","激活","0000-00-00","0","未确认",",","黄冬琴","2020-04-27","主干(#trunk)","曾扬平","2020-04-27","","","","0000-00-00","","0000-00-00","0","","","晏之遥","2020-04-27","",""
"16118","AC-直播学生端(#10)","通用(#16)","AC_iPhone_3.5.0(#529)","","","debug模式下，PT测试不显示隐藏的level(实际上想要展示隐藏)","","3","3","代码错误","","","[步骤]


[结果]
[期望]","激活","0000-00-00","0","未确认",",","鲍杰","2020-04-27","主干(#trunk)","俞立荣","2020-04-27","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"16145","AC-直播学生端(#10)","通用(#16)","AC_iPad_3.5.0(#528)","","","ACC首页解锁的课节，点击后进入课程列表页，背景页面移动问题，期望背景是静止的。","","3","3","代码错误","","","[步骤][结果][期望]","激活","0000-00-00","0","未确认",",","胡春霞","2020-04-29","主干(#trunk)","张津铭","2020-04-29","","","","0000-00-00","","0000-00-00","0","","","","0000-00-00","",""
"4145","AC-直播学生端(#10)","直播间(#17)","AC_iPad_2.0.0(#144)","","","教室中存在2个学生，其中一个学生退出或进入教室，另一个学生看到老师的视频会卡顿一下","","3","2","代码错误","","","[步骤]
教室中存在2个学生，其中一个学生退出或进入教室，另一个学生看到老师的视频会卡顿一下
且能看到卡顿的学生设备需要是IOS端
[结果]
[期望]","已解决","0000-00-00","0","已确认",",","carriere.zhang","2019-01-11","AC iPad 0111(#278)","carriere.zhang","2019-03-12","赵礼彬","延期处理","","2019-03-12","","0000-00-00","0","","","carriere.zhang","2019-03-27","",""
